9541,Sawyer,Oscar,Mr,M,2959 Bright Valley,Sabinsville,PA,16943,8208171268,o-sawyer@saturn.gov
9316,Valentine,Bailee,Mrs,F,1062 Timber Pike,Eddy,TX,76524,8205441849,bailee1@saturn.com
5152,Russo,Westin,Mr,M,4993 Dewy Dell,Riesel,TX,76682,5128179509,w-russo@uranus.gov
2022,Wilder,Evelyn,Mrs,F,6378 Dale Glade,Waco,TX,76701,,ewilder@neptune.edu
3095,McCormick,Karley,Mrs,F,5401 Umber Bend,Waco,TX,76701,,k-mccormick@earth.gov
4527,Fields,Albert,Mr,M,8498 Heather Nook,Elm Mott,TX,76640,8206799771,fields5892@mars.edu
9093,Grant,Paisley,Miss,F,6601 Gate Dale,China Spring,TX,76633,,grant3747@saturn.gov
8736,Potts,Gilberto,Mr,M,7526 Pond Hollow,Bruceville,TX,76630,5125361673,potts8857@jupiter.com
9013,McNeil,Bianca,Miss,F,8004 Bear Vale,Waco,TX,76702,2543666382,b-mcneil@venus.com
7233,Wilkins,Teresa,Miss,F,1410 Misty Vista,Waco,TX,76703,8209119819,t-wilkins@jupiter.com
9899,Donaldson,Brittany,Mrs,F,1591 Rabbit Place,Crawford,TX,76638,8202251867,brittany2@neptune.com
1743,May,Wyatt,Mr,M,335 Horse Vale,Ross,TX,76684,,wyatt1@mars.com
8252,Jarvis,Clayton,Mr,M,427 Merry Point,Jacksonville,FL,32220,5129902440,
7252,Robbins,London,Dr,F,8847 Willow Knoll,Elm Mott,TX,76640,8204801621,
9995,Fowler,Lilliana,Dr,F,8308 Horse Woods,Waco,TX,76711,8202696708,fowler4950@mercury.gov
7883,Forbes,Mathew,Mr,M,5534 Timber Avenue,Fort Lewis,WA,98433,2542176044,mathew1@uranus.com
2842,Nieves,Lukas,Mr,M,3444 Red Estates,Waco,TX,76702,8202922754,lukas1@venus.com
9267,Pena,Lilia,Miss,F,3063 Red Edge,Riesel,TX,76682,5126003255,pena4144@mars.com
8727,Figueroa,Lillian,Mrs,F,7556 Log Manor,Fallsburg,NY,12733,8203272300,lillian3@earth.gov
3360,Gonzalez,Ivan,Dr,M,7952 Cider Vale,Bruceville,TX,76630,5129082844,ivan3@venus.gov
7887,Larson,Moriah,Mrs,F,6767 Pine Point,Waco,TX,76705,2546332949,larson8745@neptune.gov
5084,Lamb,Roberta,Mrs,F,2492 Hickory Swale,Bruceville,TX,76630,,rlamb@uranus.com
2941,Cook,Riya,Dr,F,8186 Nectar Meadow,Eddy,TX,76524,5125173701,cook6884@jupiter.edu
1121,Kirk,Elijah,Mr,M,5691 Cotton Circle,West,TX,76691,2546318783,e-kirk@jupiter.edu
3256,Estes,Brandon,Mr,M,4080 Log Dr,Ross,TX,76684,2545842966,b-estes@venus.gov
1157,Becker,Darius,Mr,M,2310 Deer Swale,Waco,TX,76708,5126252673,becker8306@earth.edu
3426,Henson,Reyna,Mrs,F,3612 Misty Stead,Waco,TX,76710,2544181573,rhenson@uranus.gov
8109,Bright,Maria,Mrs,F,3881 Grand Chase,Ross,TX,76684,2548646486,maria2@venus.com
4866,Dotson,Deon,Mr,M,4187 Lake Ridge,Waco,TX,76798,2549868037,ddotson@saturn.edu
6106,Hardin,Kylee,Miss,F,6154 Lagoon Acres,Pensacola,FL,32815,8206022556,k-hardin@venus.gov
2562,Wyatt,Cyrus,Dr,M,422 Gentle Canyon,Waco,TX,76702,5124192318,cyrus1@venus.gov
3271,Baird,Blaise,Mr,M,4662 Bear Orchard,Waco,TX,76798,5127369877,b-baird@neptune.gov
2944,Dennis,Charlee,Mrs,F,7256 Middle Canyon,Axtell,TX,76624,,
4642,Pope,Zaire,Mr,M,3631 Fawn Trace,Crawford,TX,76638,8209358424,
1867,Henry,Sam,Mr,M,1259 Apple View,Waco,TX,76714,2546555110,s-henry@neptune.com
2434,Cortez,Hector,Mr,M,1750 Dale Valley,Eddy,TX,76524,8203315639,h-cortez@uranus.edu
7818,McConnell,Isaak,Mr,M,8887 Zephyr Park,China Spring,TX,76633,5123324156,
6429,Noel,Zain,Mr,M,5651 Bluff Falls,Appleton,WI,54914,8202615616,
7907,Vega,Camilo,Mr,M,8447 Stony Manor,Waco,TX,76708,,camilo1@venus.com
9839,Hatfield,Douglas,Dr,M,2157 Quiet Isle,Hewitt,TX,76643,2549056091,dhatfield@saturn.gov
2367,Snider,Micheal,Mr,M,7646 Bright Corner,Waco,TX,76708,5128812759,m-snider@uranus.gov
9243,Haynes,Craig,Mr,M,485 Easy Circle,Waco,TX,76795,,chaynes@uranus.edu
7578,Sellers,Arnold,Mr,M,5611 Cotton Farms,Waco,TX,76714,2548607033,aryan1@neptune.edu
8965,Ayers,Adeline,Dr,F,1721 Lake Valley,Waco,TX,76704,8205944865,a-ayers@mars.edu
7061,Aguilar,Shane,Dr,M,792 Hills Circle,Waco,TX,76714,2548297935,aguilar1172@neptune.gov
6990,Miles,Skylar,Miss,F,6206 Hickory Trail,Waco,TX,76715,2546352674,s-miles@mars.com
3368,Parsons,Cheyenne,Miss,F,431 Silent Place,Leroy,TX,76654,5123358766,parsons2636@uranus.gov
8733,Hoffman,Kayleen,Miss,F,5088 Iron Round,Mart,TX,76664,5123998590,k-hoffman@mercury.com
1006,Clements,Cason,Mr,M,5684 Quaking Corner,Woodway,TX,76712,5122241545,cason3@venus.gov
7099,Lloyd,Alaina,Mrs,F,581 Treasure Nook,Woodway,TX,76712,5127467268,a-lloyd@earth.com
6618,Duke,Brittany,Miss,F,5269 Fawn Run,Hewitt,TX,76643,8207444079,brittany1@saturn.edu
7302,Rogers,Dayton,Mr,M,2075 Quaking Trail,Eddy,TX,76524,8206439926,d-rogers@neptune.com
9159,Simpson,Maya,Mrs,F,6399 Elk Avenue,Waco,TX,76710,5123983035,m-simpson@venus.gov
9850,Franklin,Shawn,Mr,M,3417 Berry View,Crawford,TX,76638,5122589960,shawn3@uranus.edu
8559,Gomez,Skyler,Miss,F,1664 Quiet Lane,Mc Gregor,TX,76657,2543398827,gomez1335@mars.edu
1752,Burns,Terrell,Mr,M,3569 Panda Lane,Mc Gregor,TX,76657,8202521184,tburns@mercury.edu
5253,Singleton,Jaime,Mr,M,1800 Lazy Landing,Woodway,TX,76712,5124822868,jsingleton@saturn.gov
2890,Summers,Kendall,Mrs,F,7240 Lazy Arbor,Hartford,AL,36344,2543928524,summers3542@jupiter.edu
5005,Adkins,Aiden,Mr,M,2226 Quail Dell,Leroy,TX,76654,2544186262,aadkins@mars.edu
9998,Randall,Wilson,Mr,M,1164 Grand Circle,Axtell,TX,76624,2544516394,wilson1@jupiter.edu
8688,Brown,Dahlia,Miss,F,2942 Red Ledge,Eddy,TX,76524,,dahlia3@venus.edu
9284,Yates,Brennan,Mr,M,5645 Emerald Place,Ross,TX,76684,2545401723,byates@jupiter.com
9104,Blankenship,Raymond,Dr,M,7019 Bright Vale,Hewitt,TX,76643,2544299393,blankenship7922@mars.edu
2909,Boyle,Issac,Mr,M,584 Horse Bend,Waco,TX,76799,8203911815,issac3@jupiter.edu
7003,Atkins,Kaleb,Mr,M,528 Shadow Chase,Waco,TX,76798,8205568397,katkins@venus.edu
1584,Lancaster,Titus,Mr,M,4693 Pioneer Circle,West,TX,76691,5128758284,titus3@mars.com
2086,Burnett,Sofia,Miss,F,7662 Colonial Path,Waco,TX,76797,2545857139,sofia3@venus.gov
5766,Kaufman,Kennedi,Miss,F,730 Rocky Park,Marion,AL,36756,8204557908,kkaufman@mars.edu
